acherusia palus
palus acherusia
achilleos dromos
dromos achilleos
achillis insula
insula achillis
acra leuce
leuce acra
acronius lacus
lacus acronius
adramyenttus sinus
sinus adramyenttus
adriaticum mare
mare adriaticum
adula mons
mons adula
aegaeum mare
mare aegaeum
aelaniticus sinus
sinus aelaniticus
aelia capitolina
capitolina aelia
aganippe fons
fons aganippe
agri decumates
decumates agri
agrippinensis colonia
colonia agrippinensis
alabastrites mons
mons alabastrites
alata castra
castra alata
alba docilia
docilia alba
alba fucensis
fucensis alba
alba helvorum
helvorum alba
alba julia
julia alba
alba longa
longa alba
alba pompeia
pompeia alba
albaniae portae
portae albaniae
albanus lacus
lacus albanus
albanus mons
mons albanus
albium ingaunum
ingaunum albium
albium intemelium
intemelium albium
album promontorium
promontorium album
alburnus mons
mons alburnus
alcyonium mare
mare alcyonium
alesius mons
mons alesius
alexandri arae
arae alexandri
alsietinus lacus
lacus alsietinus
amanides pylae
pylae amanides
amari lacus
lacus amari
ambiatinus vicus
vicus ambiatinus
ambracius sinus
sinus ambracius
anao portus
portus anao
anarei montes
montes anarei
ancorarius mons
mons ancorarius
ancyron polis
polis ancyron
angitiae lucus
lucus angitiae
annibi montes
montes annibi
antonini vallum
vallum antonini
apenninus mons
mons apenninus
aphrodisius mons
mons aphrodisius
aphrodites portus
portus aphrodites
aphthites nomos
nomos aphthites
apollinis promontorium
promontorium apollinis
apollonos hieron
hieron apollonos
aprilis lacus
lacus aprilis
apta julia
julia apta
aqua ferentina
ferentina aqua
aqua viva
viva aqua
aquae albulae
albulae aquae
aquae apollinares
apollinares aquae
aquae aure
aure aquae
aquae bilbitanorum
bilbitanorum aquae
aquae bormonis
bormonis aquae
aquae caesaris
caesaris aquae
aquae caeretanae
caeretanae aquae
aquae calidae
calidae aquae
aquae convenarum
convenarum aquae
aquae cutiliae
cutiliae aquae
aquae dacicae
dacicae aquae
aquae gratianae
gratianae aquae
aquae hispanicae
hispanicae aquae
aquae labanae
labanae aquae
aquae lesitanae
lesitanae aquae
aquae mattiacae
mattiacae aquae
aquae neapolitanae
neapolitanae aquae
aquae neri
neri aquae
aquae nisineii
nisineii aquae
aquae passeris
passeris aquae
aquae patavinae
patavinae aquae
aquae populoniae
populoniae aquae
aquae regiae
regiae aquae
aquae segestanae
segestanae aquae
aquae segeste
segeste aquae
aquae segete
segete aquae
aquae selinuntiae
selinuntiae aquae
aquae sextiae
sextiae aquae
aquae siccae
siccae aquae
aquae sinuessanae
sinuessanae aquae
aquae solis
solis aquae
aquae statiellae
statiellae aquae
aquae tacapitanae
tacapitanae aquae
aquae tarbellicae
tarbellicae aquae
aquae tauri
tauri aquae
aquae tibilitanae
tibilitanae aquae
aquae volaterranae
volaterranae aquae
aquensis vicus
vicus aquensis
ara lugdunensis
lugdunensis ara
ara ubiorum
ubiorum ara
arabia felix
felix arabia
arabicus sinus
sinus arabicus
arachoti fons
fons arachoti
arae hesperi
hesperi arae
arae philaenortum
philaenortum arae
arae sestianae
sestianae arae
arbiti montes
montes arbiti
arenae montes
montes arenae
argaricus sinus
sinus argaricus
argentarius mons
mons argentarius
argentea regio
regio argentea
argolicus sinus
sinus argolicus
argos amphilochicum
amphilochicum argos
argos hippium
hippium argos
argos oresticum
oresticum argos
argos pelasgicum
pelasgicum argos
argous portus
portus argous
aria civitas
civitas aria
aria insula
insula aria
aria lacus
lacus aria
aritium praetorium
praetorium aritium
armeniae pylae
pylae armeniae
armozon prom
prom armozon
aromata promontorium
promontorium aromata
arsia silva
silva arsia
artabrorum portus
portus artabrorum
artabrorum sinus
sinus artabrorum
artabrum prom
prom artabrum
arusini campi
campi arusini
asa paulini
paulini asa
ascania lacus
lacus ascania
asinaeus sinus
sinus asinaeus
aspa luca
luca aspa
asphaltites lacus
lacus asphaltites
asturica augusta
augusta asturica
atabyris mons
mons atabyris
athamantius campus
campus athamantius
atlanticum mare
mare atlanticum
atta vicus
vicus atta
aualites sinus
sinus aualites
augusta auscorum
auscorum augusta
augusta emerita
emerita augusta
augusta firma
firma augusta
augusta gemella
gemella augusta
augusta julia
julia augusta
augusta praetoria
praetoria augusta
augusta rauracorum
rauracorum augusta
augusta suessonum
suessonum augusta
augusta taurinorum
taurinorum augusta
augusta trevirorum
trevirorum augusta
augusta tricastinorum
tricastinorum augusta
augusta trinobantum
trinobantum augusta
augusta vagiennorum
vagiennorum augusta
augusta veromanduorum
veromanduorum augusta
augusta vindelicorum
vindelicorum augusta
aulaei tichos
tichos aulaei
aurasius mons
mons aurasius
aurea chersonesus
chersonesus aurea
aurelianorum urbs
urbs aurelianorum
avernus lacus
lacus avernus
baduhennae lucus
lucus baduhennae
baecolicus mons
mons baecolicus
baetii montes
montes baetii
bagistanus mons
mons bagistanus
bagous mons
mons bagous
bandusiae fons
fons bandusiae
barca bactrianae
bactrianae barca
basanites mons
mons basanites
batava castra
castra batava
batavorum insula
insula batavorum
bathys portus
portus bathys
bebii montes
montes bebii
begorritis lacus
lacus begorritis
benacus lacus
lacus benacus
bermius mons
mons bermius
beudos vetus
vetus beudos
bituriges cubi
cubi bituriges
bituriges vivisci
vivisci bituriges
blatum bulgium
bulgium blatum
bocanum hemerum
hemerum bocanum
boebeis lacus
lacus boebeis
boreum prom
prom boreum
bosporus cimmerius
cimmerius bosporus
bosporus thracius
thracius bosporus
bracara augusta
augusta bracara
brigantinus lacus
lacus brigantinus
britannicae insulae
insulae britannicae
briva isarae
isarae briva
brivates portus
portus brivates
bucolorum urbs
urbs bucolorum
bulla regia
regia bulla
buticus lacus
lacus buticus
cabubathra mons
mons cabubathra
cabura bactrianae
bactrianae cabura
caecilia castra
castra caecilia
caecubus ager
ager caecubus
caepionis turris
turris caepionis
caesareia philippi
philippi caesareia
caesia silva
silva caesia
calafiius mons
mons calafiius
calentes aquae
aquae calentes
callicula mons
mons callicula
calligicum prom
prom calligicum
callirrhoe fons
fons callirrhoe
calydnae insulae
insulae calydnae
cambalidus mons
mons cambalidus
cambunii montes
montes cambunii
campi laborini
laborini campi
campi phlegraei
phlegraei campi
campi raudii
raudii campi
campi veteres
veteres campi
campus diomedis
diomedis campus
campus foenicularius
foenicularius campus
campus juncarius
juncarius campus
campus spartarius
spartarius campus
campus stellatis
stellatis campus
cancanorum prom
prom cancanorum
candidum promontorium
promontorium candidum
canini campi
campi canini
canis flumen
flumen canis
cantaber oceanus
oceanus cantaber
cantiihaus portus
portus cantiihaus
canthi sinus
sinus canthi
cappadox river
river cappadox
capria lake
lake capria
caput bovis
bovis caput
caput vada
vada caput
carmelus mons
mons carmelus
caron portus
portus caron
carpates mons
mons carpates
carpathium mare
mare carpathium
carrea potentia
potentia carrea
carrha flumen
flumen carrha
carthago nova
nova carthago
carthago vetus
vetus carthago
carus vicus
vicus carus
casia regio
regio casia
casii montes
montes casii
casius mons
mons casius
caspeiria ins
ins caspeiria
caspiae portae
portae caspiae
caspiae pylae
pylae caspiae
caspii montes
montes caspii
caspium mare
mare caspium
castalia fons
fons castalia
castellum amerinum
amerinum castellum
castellum caracenorum
caracenorum castellum
castellum firmanum
firmanum castellum
castellum menapiorum
menapiorum castellum
castellum valentiniani
valentiniani castellum
castoli campus
campus castoli
castra cornelia
cornelia castra
castra exploratorum
exploratorum castra
castra hannibalis
hannibalis castra
castra herculis
herculis castra
castra nova
nova castra
castra postumiana
postumiana castra
castra pyrrhi
pyrrhi castra
castra trajana
trajana castra
castra vetera
vetera castra
castrum album
album castrum
castrum inui
inui castrum
castrum minervae
minervae castrum
castrum novum
novum castrum
castrum truentinum
truentinum castrum
castrum vergium
vergium castrum
castulonensis saltus
saltus castulonensis
caucasiae portae
portae caucasiae
caucasus indicus
indicus caucasus
caystri campus
campus caystri
cebenna mons
mons cebenna
celaenus tumulus
tumulus celaenus
celticum promontorium
promontorium celticum
cephissis lacus
lacus cephissis
cepi milesiorum
